employee,department,region,sales,month
Alice,Engineering,West,12000,1
Bob,Marketing,East,8500,1
Carol,Engineering,West,15000,1
Dan,Marketing,East,7200,1
Eve,Engineering,East,11000,1
Frank,Marketing,West,9300,1
Alice,Engineering,West,13500,2
Bob,Marketing,East,9100,2
Carol,Engineering,West,14200,2
Dan,Marketing,East,8800,2
Eve,Engineering,East,12500,2
Frank,Marketing,West,10200,2
Alice,Engineering,West,11800,3
Bob,Marketing,East,9800,3
Carol,Engineering,West,16000,3
Dan,Marketing,East,8100,3
Eve,Engineering,East,13200,3
Frank,Marketing,West,11500,3
